,description,naf5,naf4,naf3,naf2
0,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",01.11Z,1.11,1.1,1.0
1,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes culture du riz culture du riz",01.12Z,1.12,1.1,1.0
2,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes culture de légumes, de melons, de racines et de tubercules culture de légumes, de melons, de racines et de tubercules",01.13Z,1.13,1.1,1.0
3,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes culture de la canne à sucre culture de la canne à sucre",01.14Z,1.14,1.1,1.0
4,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes culture du tabac culture du tabac",01.15Z,1.15,1.1,1.0
5,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes culture de plantes à fibres culture de plantes à fibres",01.16Z,1.16,1.1,1.0
6,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures non permanentes autres cultures non permanentes autres cultures non permanentes",01.19Z,1.19,1.1,1.0
7,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture de la vigne culture de la vigne",01.21Z,1.21,1.2,1.0
8,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture de fruits tropicaux et subtropicaux culture de fruits tropicaux et subtropicaux",01.22Z,1.22,1.2,1.0
9,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture d'agrumes culture d'agrumes",01.23Z,1.23,1.2,1.0
10,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture de fruits à pépins et à noyau culture de fruits à pépins et à noyau",01.24Z,1.24,1.2,1.0
11,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque",01.25Z,1.25,1.2,1.0
12,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture de fruits oléagineux culture de fruits oléagineux",01.26Z,1.26,1.2,1.0
13,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture de plantes à boissons culture de plantes à boissons",01.27Z,1.27,1.2,1.0
14,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes culture de plantes à épices, aromatiques, médicinales et pharmaceutiques culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",01.28Z,1.28,1.2,1.0
15,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes cultures permanentes autres cultures permanentes autres cultures permanentes",01.29Z,1.29,1.2,1.0
16,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes reproduction de plantes reproduction de plantes reproduction de plantes",01.30Z,1.3,1.3,1.0
17,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage de vaches laitières élevage de vaches laitières",01.41Z,1.41,1.4,1.0
18,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage d'autres bovins et de buffles élevage d'autres bovins et de buffles",01.42Z,1.42,1.4,1.0
19,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage de chevaux et d'autres équidés élevage de chevaux et d'autres équidés",01.43Z,1.43,1.4,1.0
20,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage de chameaux et d'autres camélidés élevage de chameaux et d'autres camélidés",01.44Z,1.44,1.4,1.0
21,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage d'ovins et de caprins élevage d'ovins et de caprins",01.45Z,1.45,1.4,1.0
22,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage de porcins élevage de porcins",01.46Z,1.46,1.4,1.0
23,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage de volailles élevage de volailles",01.47Z,1.47,1.4,1.0
24,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes production animale élevage d'autres animaux élevage d'autres animaux",01.49Z,1.49,1.4,1.0
25,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes culture et élevage associés culture et élevage associés culture et élevage associés",01.50Z,1.5,1.5,1.0
26,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes activités de soutien à l'agriculture et traitement primaire des récoltes activités de soutien aux cultures activités de soutien aux cultures",01.61Z,1.61,1.6,1.0
