,employees,name,naf
7786,22,SUPER U,47.11D
13947,22,G. DORAS SERVICES,82.99Z
14971,22,DISTRICT DE VILLEFRANCHE-LIMAS,52.21Z
16260,32,SPPH,21.20Z
108493,22,SIA HABITAT,68.20A
114678,22,E LECLERC,47.11F
117640,22,DUSOLIER CALBERSON INTERNATIONAL DU,52.29A
117651,32,CALBERSON - FRANCE EXPRESS,52.29A
119711,22,SOGIMA,68.20A
123024,22,SAMSE,46.73A
123913,22,SNEF E-TCR,43.21A
125495,22,LE RHONE ALPES,64.19Z
126013,22,PLURALIS,68.20A
126048,32,SIMRIT,22.19Z
127368,32,SOCIETE DES EAUX DE MARSEILLE,36.00Z
131224,22,CLUB PALM BEACH,55.10Z
136731,22,H. REINIER METZ,81.29B
136744,22,H. REINIER TRANSPORTS IDF,81.21Z
136750,22,ONET PROPRETE SERVICES PARIS SAINT LAZARE,81.29B
136754,22,ORTEC INDUSTRIE,33.11Z
137357,22,COMEC,43.32A
139589,22,ELIS BRETAGNE,77.29Z
139590,31,ELIS BERRY,77.29Z
139591,22,ELIS ANJOU,77.29Z
139598,22,ELIS LIMOUSIN,77.29Z
139606,22,ELIS BREST - AQUASERVICE,77.29Z
139613,22,ELIS QUIMPER,96.01A
139618,22,ELIS LOUDEAC-PROHYTEX,77.29Z
139623,22,ELIS PAYS DE LOIRE,77.29Z
147313,22,CENTRIMEX AIRSERVICE,52.29B
152619,32,ONET PROPRETE,81.21Z
152639,31,ONET,81.21Z
152811,22,PROPRETE CLASSIQUE,81.21Z
152819,32,OFFICE NOUVEAU DU NETTOYAGE,81.21Z
152849,32,ONET SERVICES VAUCLUSE SUD,81.21Z
152917,32,ONET PROPRETE ET SERVICES PARIS RIVE DROITE,81.21Z
152933,22,ONET SERVICES BOURG EN BRESSE,81.21Z
152959,32,ONET METZ SANTE,81.21Z
152968,32,MARSEILLE,81.21Z
152972,32,ONET PROPRETE ET SERVICES PARIS RIVE GAUCHE,81.21Z
152989,22,ONET LITTORAL NORD,81.21Z
152990,22,ONET SERVICES TRANSPORTS IDF,81.21Z
152997,22,ONET SANTE,81.21Z
152998,31,ONET SERVICES BANCASSURANCES,81.21Z
153001,31,ONET PROPRETE ET SERVICES SOISSONS,81.21Z
153005,31,ONET SERVICES HAUT RHIN,81.21Z
153014,31,ONET SERVICES BUSINESS & COMMERCE,81.21Z
153028,22,ONET SERVICES TRANSPORT 06,81.21Z
153030,31,ONET PROPRETE ET SERVICES BARENTIN,81.21Z
153031,31,ONET SERVICES ULTRA PROPRETE PROVENCE,81.21Z
153032,32,ONET SERVICE VAUCLUSE NORD,81.21Z
153035,22,ONET SERVICES MONTAUBAN,81.21Z
158987,22,E.LECLERC,47.11F
175111,22,TELESKI DE LA CORBASSIERE,49.39C
178311,22,ADIDAS,47.64Z
190182,22,SA ROXANE,11.07B
193325,22,EIFFAGE CONSTRUCTION BEARN,41.20B
197033,32,ATELIER D'ETUDES ET DE REALISATIONS,25.11Z
198860,41,COUR NATIONALE DROIT ASILE CNDA,84.23Z
198861,22,COMMISSION DU CONTENTIEUX DU STATIONNEMENT PAYANT,84.23Z
198863,32,COMITE TERRITORIAL DE L'AUDIOVISUEL DE PARIS,84.11Z
198963,41,ANNEXE LUMIERE,84.11Z
198965,32,SAELSI - CNSL,84.11Z
199169,22,SOUS DIRECTION DU PERSONNEL,84.21Z
199180,32,SS DIR ETAT CIVIL FR A L ETRANGER,84.21Z
199309,31,ECOLE NATIONALE DE POLICE,85.59A
