Rang	Entreprise	Activité	Ville	Chiffre d'affaires
1	TOTALENERGIES SE	Activités des sièges sociaux (70.10Z)	COURBEVOIE 92400	200 316 000 000 €
2	AXA	Activités des sociétés holding (64.20Z)	PARIS 8 75008	103 532 000 000 €
3	PEUGEOT SA	Activités des sièges sociaux (70.10Z)	VELIZY-VILLACOUBLAY 78140	74 731 000 000 €
4	CARREFOUR	Activités des sociétés holding (64.20Z)	MASSY 91300	71 651 000 000 €
5	EDF ELECTRICITE DE FRANCE	Production d'électricité (35.11Z)	PARIS 8 75008	71 317 000 000 €
6	PSA AUTOMOBILES SA	Construction de véhicules automobiles (29.10Z)	POISSY 78300	65 017 505 000 €
7	AIRBUS	Construction aéronautique et spatiale (30.30Z)	BLAGNAC 31700	61 404 650 000 €
8	ENGIE	Commerce de combustibles gazeux par conduites (35.23Z)	COURBEVOIE 92400	56 967 000 000 €
9	FINANCIERE AGACHE	Activités des sociétés holding (64.20Z)	PARIS 8 75008	53 671 000 000 €
10	LVMH MOET HENNESSY LOUIS VUITTON	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	53 670 000 000 €
11	VINCI	Activités des sièges sociaux (70.10Z)	RUEIL-MALMAISON 92500	48 053 000 000 €
12	RENAULT SAS	Construction de véhicules automobiles (29.10Z)	BOULOGNE-BILLANCOURT 92100	47 949 000 000 €
13	CHRISTIAN DIOR	Activités des sociétés holding (64.20Z)	PARIS 8 75008	44 651 000 000 €
14	RENAULT	Activités des sociétés holding (64.20Z)	BOULOGNE-BILLANCOURT 92100	43 474 000 000 €
15	COMPAGNIE DE SAINT-GOBAIN	Activités des sièges sociaux (70.10Z)	COURBEVOIE 92400	42 573 000 000 €
16	ORANGE	Télécommunications filaires (61.10Z)	ISSY-LES-MOULINEAUX 92130	42 270 000 000 €
17	SANOFI	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	38 126 000 000 €
18	BOUYGUES	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	37 929 000 000 €
19	CASINO, GUICHARD-PERRACHON	Activités des sièges sociaux (70.10Z)	SAINT-ETIENNE 42000	35 310 000 000 €
20	EURIS	Fonds de placement et entités financières similaires (64.30Z)	PARIS 8 75008	34 663 000 000 €
21	FONCIERE EURIS	Activités des sociétés holding (64.20Z)	PARIS 8 75008	34 663 000 000 €
22	RALLYE	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	34 652 000 000 €
23	FINATIS	Fonds de placement et entités financières similaires (64.30Z)	PARIS 8 75008	34 463 000 000 €
24	ELO	Activités des sièges sociaux (70.10Z)	CROIX 59170	32 117 000 000 €
25	CMA CGM	Transports maritimes et côtiers de fret (50.20Z)	MARSEILLE 2 13002	31 445 100 000 €
26	LES MOUSQUETAIRES	Activités des sociétés holding (64.20Z)	PARIS 15 75015	30 606 538 000 €
